TOKEN	L1_PRIM	L1_SEC	L2_PRIM	L2_SEC
alles	1	0	1	0
leer	0	0	0	0
wat	0	0	0	0
hy	0	0	0	0
geleer	0	0	0	0
het	0	0	0	0

As	0	0	0	0
jy	0	0	0	0
eers	1	0	1	0
uit	0	0	0	0
die	0	0	0	0
nes	0	0	0	0
is,	0	0	0	0
is	0	0	0	0
dit	0	0	0	0
verby.	0	0	0	0

Universiteite	0	0	0	0
het	0	0	0	0
slegs	0	0	0	0
een	1	0	0	0
verteenwoordiger	0	0	0	0
in	0	0	0	0
elk	0	1	1	0
van	0	0	0	0
hierdie	0	0	0	0
liggame.	0	0	0	0

Die	0	0	0	0
Here	1	0	1	0
wys	0	0	0	0
hierdie	0	0	0	0
gejammer	0	1	0	0
van	0	0	0	0
Josua	0	0	0	0
af.	0	0	0	0

Dit	0	0	1	0
is	0	0	0	0
hieroor	1	0	0	0
waaroor	0	0	0	0
die	0	0	0	0
volgende	0	1	0	0
twee	0	0	0	0
eredienste	0	0	0	0
gaan.	0	0	0	0

Rousseau	0	0	0	1
skryf	0	0	0	0
oortuigend	1	0	0	0
oor	0	0	0	0
die	0	0	0	0
spanninge	0	1	1	0
in	0	0	0	0
hierdie	0	0	0	0
verhouding.	0	0	0	0

Jarret	0	0	0	1
genader	0	0	0	0
het	0	0	0	0
vir	0	0	0	0
'n	0	0	0	0
besoek	1	0	1	0
aan	0	0	0	0
die	0	0	0	0
Boyden	0	0	0	0
Sterrewag.	0	0	0	0

Universiteite	1	0	1	0
is	0	0	0	0
nie	0	0	0	0
bedoel	0	0	0	0
vir	0	0	0	0
die	0	0	0	0
massas	0	0	0	0
nie.	0	0	0	0

Dit	0	0	0	0
sluit	0	0	1	0
in	0	0	0	0
swart	1	0	0	1
teologie,	0	0	0	0
bevrydingsteologie	0	1	0	0
en	0	0	0	0
teologie	0	0	0	0
van	0	0	0	0
die	0	0	0	0
revolusie.	0	0	0	0

Ek	0	0	0	0
wou	0	0	0	0
toe	0	0	0	0
eintlik	1	0	1	0
iets	0	0	0	0
geskryf	0	0	0	0
het	0	0	0	0
oor	0	0	0	0
voedselgewoontes.	0	0	0	0

Daarom	1	0	0	0
was	0	0	0	0
die	0	0	0	0
oplossing	0	0	0	0
vir	0	0	0	0
hom	0	0	0	0
eintlik	0	1	1	0
so	0	0	0	0
eenvoudig.	0	0	0	0

Die	0	0	0	0
ondersoek	1	0	1	0
sal	0	0	0	0
na	0	0	0	0
verwagting	0	0	0	0
einde	0	0	0	0
vandeesmaand	0	0	0	0
afgehandel	0	1	0	0
wees.	0	0	0	0

Die	0	0	0	0
reuk	0	0	0	0
het	0	0	0	0
ingetrek	1	0	0	0
en	0	0	1	0
sy	0	0	0	0
lê	0	0	0	0
gekry.	0	0	0	0

Die	0	0	0	0
komitee	0	0	0	0
kan	0	0	0	0
sekere	1	0	1	0
verantwoordelikheid	0	0	0	0
aan	0	0	0	0
ander	0	1	0	0
delegeer.	0	0	0	0

Stadig	1	0	1	0
draai	0	0	0	0
hy	0	0	0	0
om	0	0	0	0
en	0	0	0	1
groet	0	0	0	0
my	0	0	0	0
ook.	0	0	0	0

Vir	0	0	0	0
die	0	0	0	0
eerste	1	0	1	0
keer	0	0	0	0
het	0	0	0	0
Jakob	0	1	0	0
deur	0	0	0	1
Ruben	0	1	0	0
pa	0	0	0	0
kon	0	0	0	0
wees.	0	0	0	0

Daar	0	0	0	0
is	0	0	1	0
spreekwoordelike	0	0	0	0
borste	1	0	0	0
gewys	0	0	0	0
en	0	0	0	0
harte	0	1	0	0
gebreek.	0	0	0	0

Die	0	0	0	0
gedagtegang	1	0	0	0
eindig	0	0	1	0
dan	0	0	0	0
ongelukkig	0	1	0	0
nie	0	0	0	0
hier	0	0	0	0
nie.	0	0	0	0

As	0	0	0	0
'n	0	0	0	0
man	0	0	0	0
nie	0	0	0	0
sy	0	0	0	0
kant	1	0	1	0
bring	0	0	0	0
nie	0	0	0	0
moet	0	0	0	0
hy	0	0	0	0
uit.	0	0	0	0

Dis	0	0	0	0
die	0	0	0	0
plek	1	0	1	0
waar	0	0	0	0
hulle	0	0	0	0
die	0	0	0	0
monument	0	0	0	0
gebou	0	0	0	0
het.	0	0	0	0

Massa	0	0	0	0
uitgedruk	1	0	0	1
in	0	0	0	0
terme	0	0	1	0
van	0	0	0	0
'n	0	0	0	0
verspreidingskaal	0	0	0	0
van	0	1	0	0
tot	0	0	0	0
volgens	0	0	0	0
ouderdom.	0	0	0	0

Families	0	0	0	0
kon	0	0	0	0
immers	1	0	1	0
groei	0	0	0	0
om	0	0	0	0
nasies	0	1	0	0
van	0	0	0	0
mense	0	0	0	0
te	0	0	0	0
wees.	0	0	0	0

Dit	0	0	0	0
word	0	0	0	0
'n	0	0	0	0
afspraak	1	0	0	0
soos	0	0	1	0
wat	0	0	0	0
'n	0	0	0	0
vergadering	0	1	0	0
een	0	0	0	0
is.	0	0	0	0

Die	0	0	0	0
kruin	1	0	0	0
het	0	0	0	0
bietjie	0	0	1	0
bietjie	0	0	0	1
nader	0	1	0	0
gekruip	0	0	0	0
met	0	0	0	0
elke	0	1	0	0
klimslag.	0	0	0	0

Kom	0	0	0	0
lees	1	0	0	0
bietjie	0	0	0	0
oor	0	0	0	0
wat	0	0	1	0
ons	0	0	0	0
glo	0	1	0	0
en	0	0	0	0
waarom.	0	0	0	0

Die	0	0	0	0
rinkhals	1	0	0	0
en	0	0	0	0
spoegkobras	0	1	0	0
het	0	0	0	0
spesiaal	0	0	1	0
aangepasde	0	0	0	0
gifapparaat.	0	0	0	0

Definieer	0	0	1	0
en	0	0	0	0
bereken	0	0	0	1
maatstawwe	1	0	0	0
van	0	0	0	0
posisie	0	0	0	0
en	0	0	0	0
spreiding.	0	0	0	0

Reël	0	0	0	0
vooraf	1	0	1	0
met	0	0	0	0
die	0	0	0	0
skole	0	0	0	0
klubs	0	0	0	0
en	0	0	0	1
kerke	0	0	0	0
'n	0	0	0	0
verskeidenheid	0	0	0	0
vakansieprogramme.	0	0	0	0

Gebruik	0	0	0	0
liewer	0	0	0	0
ander	1	0	1	0
toestelle	0	0	0	0
van	0	0	0	0
egte	0	1	0	1
Afrika	0	0	0	0
oorsprong	0	0	0	0
daarvoor.	0	0	0	0

Die	0	0	0	0
Bybelverhale	0	0	0	0
waarmee	0	0	0	0
Kupido	1	0	1	0
heropgevoed	0	0	0	0
word,	0	0	0	0
word	0	0	0	1
sy	0	0	0	0
nuwe	0	0	0	0
godsdiens.	0	0	0	0

Dit	0	0	0	0
is	0	0	0	0
die	0	0	0	0
ekwivalent	0	0	1	0
van	0	0	0	0
die	0	0	0	0
leeu	1	0	0	0
op	0	0	0	0
die	0	0	0	0
grond.	0	0	0	0

Die	0	0	0	0
opdatering	1	0	1	0
van	0	0	0	0
hierdie	0	0	0	0
produk	0	0	0	0
is	0	0	0	0
ook	0	0	0	0
gratis.	0	0	0	0

In	0	0	0	0
totaal	1	0	0	0
het	0	0	0	0
hulle	0	0	0	0
vyf	0	1	1	0
kinders	0	0	0	0
en	0	0	0	0
een	0	0	0	0
kleinkind.	0	0	0	0

Ek	0	0	1	0
verneem	0	0	0	0
ook	0	0	0	0
verder	1	0	0	0
dat	0	0	0	0
Zuma	0	0	0	0
uit	0	0	0	0
alle	0	0	0	0
poste	0	0	0	0
bedank	0	0	0	0
het.	0	0	0	0

Die	0	0	1	0
rustige	1	0	0	0
asemhaling	0	0	0	0
stel	0	0	0	0
haar	0	0	0	0
gerus.	0	0	0	0

Dit	0	0	0	0
is	0	0	0	0
duidelik	1	0	1	0
dat	0	0	0	0
goedkoop	0	0	0	0
invoer	0	0	0	0
binnelandse	0	0	0	1
produksie	0	0	0	0
wurg.	0	0	0	0

Hugo	0	0	0	0
val	0	0	0	0
bykans	0	0	0	0
oor	1	0	0	0
sy	0	0	0	0
voete	0	0	0	0
soos	0	0	1	0
wat	0	0	0	0
hy	0	0	0	0
Komrij	0	0	0	0
prys.	0	0	0	0

Want	0	0	0	0
haar	0	0	0	0
ervaring,	1	0	0	0
haar	0	0	0	0
toewyding	0	1	1	0
aan	0	0	0	0
Jesus	0	0	0	0
hou	0	0	0	0
niks	0	0	0	0
terug	0	0	0	0
nie.	0	0	0	0

Aanvaar	1	0	1	0
aanbiedinge	0	0	0	0
om	0	0	0	0
na	0	0	0	0
jou	0	0	0	0
baba	0	1	0	0
om	0	0	0	0
te	0	0	0	0
sien.	0	0	0	0

Die	0	0	0	0
adres	0	0	0	1
en	0	0	0	0
telefoonnommer	0	0	0	0
is	0	0	0	0
agter	0	0	1	0
in	0	0	0	0
hierdie	1	0	0	0
boekie.	0	0	0	0

In	0	0	0	0
elke	1	0	1	0
situasie	0	0	0	0
is	0	0	0	0
daar	0	0	0	0
'n	0	0	0	0
keuse.	0	0	0	0

Ek	0	0	0	0
erken	1	0	0	0
my	0	0	0	0
nietigheid	0	0	0	0
en	0	0	1	0
afhanklikheid.	0	0	0	0

Ook	0	0	0	0
in	0	0	0	0
Mattheus	0	0	0	0
en	0	0	0	0
talle	1	0	1	0
ander	0	0	0	0
Skrifgedeeltes	0	0	0	0
vind	0	0	0	0
ons	0	0	0	0
hierdie	0	0	0	0
vermaning.	0	0	0	0

Christus	0	1	1	0
se	0	0	0	0
werk	0	0	0	0
sal	0	0	0	0
voortgaan	0	0	0	0
ondanks	1	0	0	0
die	0	0	0	0
opposisie.	0	0	0	0

Maar	0	0	0	0
ek	0	0	0	0
knik	0	0	1	0
net	0	0	0	0
ja	1	0	0	0
en	0	0	0	0
nee	0	1	0	0
op	0	0	0	0
die	0	0	0	0
regte	0	0	0	0
tye.	0	0	0	0

Die	0	0	0	0
uittreksel	0	0	1	0
word	0	0	0	0
met	0	0	0	0
vergunning	1	0	0	0
van	0	0	0	0
Penguin	0	0	0	0
gepubliseer.	0	0	0	0

Hoekom	1	0	1	0
het	0	0	0	0
boontjie	0	0	0	0
sy	0	0	0	0
loontjie	0	0	0	0
gekry?	0	0	0	0

Ons	0	0	0	0
bied	0	0	0	0
'n	0	0	0	0
goeie	1	0	1	0
geleentheid	0	0	0	0
vir	0	0	0	0
'n	0	0	0	0
entrepreneur.	0	0	0	0

Maar	1	0	1	0
dit	0	0	0	0
is	0	0	0	0
nie	0	0	0	0
maanskyn	0	0	0	0
en	0	0	0	0
rose	0	0	0	0
nie.	0	0	0	0

Ons	0	0	0	0
drink	0	0	1	0
groentee	1	0	0	0
uit	0	0	0	0
miniskule	0	0	0	0
Ooste	0	1	0	0
koppies.	0	0	0	0

Maak	0	0	0	0
dus	0	0	0	0
seker	0	0	0	0
dat	0	0	0	0
jou	0	0	0	0
werkgewer	1	0	0	0
voor	0	0	1	0
jou	0	0	0	0
uitdienstrede	0	0	0	0
geregistreer	0	0	0	0
is.	0	0	0	0

Daar	0	0	0	0
is	0	0	0	0
wel	1	0	0	0
belangstelling	0	0	0	0
vir	0	0	0	0
allerlei	0	1	1	0
ander	0	1	0	1
sake	0	0	0	0
van	0	0	0	0
die	0	0	0	0
wêreld.	0	0	0	0

Hou	0	0	0	0
die	0	0	0	0
sous	0	0	0	0
warm	0	0	0	0
oor	0	0	0	0
baie	1	0	1	0
lae	0	0	0	0
hitte	0	0	0	0
terwyl	0	0	0	0
julle	0	0	0	0
eet.	0	0	0	0

As	0	0	1	0
jy	0	0	0	0
hierdie	0	0	0	0
woorde	0	0	0	0
kan	0	0	0	0
lees,	1	0	0	0
gaan	0	0	0	0
koop	0	0	0	0
hierdie	0	0	0	0
boek.	0	0	0	0

Vandag	0	0	1	0
bekend	0	0	0	0
as	0	0	0	0
die	0	0	0	0
Deuteronomistiese	1	0	0	0
geskiedskywing.	0	0	0	0

Identiteit	0	0	0	0
is	0	0	0	0
in	0	0	0	0
die	0	0	0	0
globale	1	0	0	0
wêreld	0	0	0	0
uit	0	0	0	0
pas	0	0	1	0
met	0	0	0	0
die	0	0	0	0
tydsgees.	0	0	0	0

Gayflieks,	1	0	0	0
nie	0	0	0	0
porno	0	0	0	0
nie,	0	0	1	0
kan	0	0	0	0
mens	0	0	0	0
oor	0	0	0	0
die	0	0	0	0
toonbank	0	0	0	0
huur.	0	0	0	0

Vanuit	0	0	0	0
ervaring	0	0	0	0
deur	0	0	0	0
haarself	0	0	0	0
of	0	0	0	0
ander	1	0	1	0
na	0	0	0	0
aan	0	0	0	0
haar.	0	0	0	0

Die	0	0	0	0
plaas	1	0	0	0
se	0	0	0	0
weiding	0	0	0	0
word	0	0	0	0
benut	0	0	0	0
deur	0	0	0	0
'n	0	0	0	0
groeiende	0	0	1	0
beesprojek.	0	0	0	0

Meeste	1	0	1	0
van	0	0	0	0
hulle	0	0	0	0
ken	0	0	0	0
ek	0	0	0	0
buitendien	0	0	0	0
glad	0	1	0	0
nie.	0	0	0	0

Daar	0	0	0	0
is	0	0	0	0
n	0	0	0	0
verskil	1	0	1	0
tussen	0	0	0	0
glo	0	0	0	0
in	0	0	0	0
en	0	0	0	0
glo	0	0	0	0
aan.	0	0	0	0

Dink	0	0	1	0
weer	0	0	0	0
aan	0	0	0	0
die	0	0	0	0
buitelyne	1	0	0	0
van	0	0	0	0
jou	0	0	0	0
storie.	0	0	0	0

Die	1	0	0	1
antibiotikum	0	0	0	0
kan	0	0	0	0
die	0	0	0	0
tandemalje	0	1	1	0
bruingeel	0	0	0	0
laat	0	0	0	0
verkleur.	0	0	0	0

Die	0	0	0	0
saad	1	0	0	1
wat	0	0	0	0
daar	0	0	0	0
gesaai	0	0	1	0
word	0	0	0	0
skiet	0	0	0	0
vinnig	0	0	0	0
op.	0	0	0	0

Dit	0	0	0	0
word	0	0	0	0
vooraf	1	0	1	0
afgekondig	0	0	0	0
en	0	0	0	0
ook	0	0	0	1
in	0	0	0	0
die	0	0	0	0
nuusbrief	0	1	0	0
vermeld.	0	0	0	0

Die	0	0	0	0
dissipels	0	0	0	0
het	0	0	0	0
toe	0	0	0	0
allerhande	1	0	1	0
antwoorde	0	0	0	0
gegee.	0	0	0	0

Gene	1	0	1	0
bepaal	0	0	0	0
die	0	0	0	0
fisieke	0	1	0	0
eienskappe	0	0	0	0
wat	0	0	0	0
jy	0	0	0	0
erf.	0	0	0	0

Die	0	0	0	0
Netwerk	0	0	0	0
wil	0	0	0	0
'n	0	0	0	0
ruimte	1	0	1	0
vir	0	0	0	0
oop	0	0	0	0
religieuse	0	0	0	0
gesprek	0	0	0	0
verskaf.	0	0	0	0

Dele	1	0	0	0
daarvan	0	0	0	0
speel	0	0	0	0
af	0	0	1	0
in	0	0	0	0
Europa	0	0	0	0
en	0	0	0	0
Amerika.	0	0	0	0

Net	0	0	0	0
die	0	0	0	0
museum	0	0	0	0
kan	0	0	0	0
jou	0	0	0	0
al	0	0	0	0
'n	0	0	0	0
paar	1	0	1	0
uur	0	0	0	0
besig	0	0	0	0
hou.	0	0	0	0

Die	0	0	0	0
slangetjies	1	0	1	0
is	0	0	0	0
donkerbruin	0	1	0	0
tot	0	0	0	0
swart	0	1	0	1
van	0	0	0	0
kleur.	0	0	0	0

Is	0	0	0	0
daar	0	0	0	0
nog	0	0	0	0
enige	1	0	1	0
iets	0	0	0	0
oor	0	0	0	0
in	0	0	0	0
daardie	0	1	0	0
organiese	0	0	0	0
massa?	0	0	0	0

Dit	0	0	0	0
vind	1	0	1	0
deur	0	0	0	0
rapportering	0	0	0	0
plaas.	0	0	0	0

Rook	0	1	1	0
vul	0	0	0	0
die	0	0	0	0
klein	1	0	0	0
kamertjie	0	0	0	0
agter	0	1	0	0
die	0	0	0	0
voorstedelike	0	0	0	0
garage.	0	0	0	0

Nou	1	0	0	0
die	0	0	0	0
gedagte,	0	0	0	0
die	0	0	0	0
skepsel	0	1	1	0
verheug	0	0	0	0
hom	0	0	0	0
in	0	0	0	0
sy	0	0	0	0
Skepper.	0	0	0	0

Die	0	0	0	0
mans	1	0	0	0
kom	0	0	0	0
egter	0	0	1	0
nie	0	0	0	0
alleen	0	0	0	0
studeer	0	0	0	0
nie.	0	0	0	0

Die	0	0	0	0
Voermol	1	0	0	0
Amajuba	0	0	1	0
Sportweke	0	0	0	0
is	0	0	0	0
weereens	0	1	0	0
met	0	0	0	0
groot	0	0	0	0
sukses	0	0	0	0
afgehandel.	0	0	0	0

Die	0	0	0	0
duiwel	1	0	1	0
loop	0	0	0	0
rond	0	0	0	0
soos	0	0	0	0
'n	0	0	0	0
brullende	0	0	0	0
leeu.	0	0	0	0

Hier	0	0	0	0
is	0	0	0	0
drie	0	0	1	0
uittreksels	0	0	0	0
eksklusief	1	0	0	0
uit	0	0	0	0
die	0	0	0	0
oorspronklike	0	0	0	0
Afrikaans.	0	0	0	0

Hier	0	0	0	0
kan	0	0	0	0
jy	0	0	0	0
uiting	1	0	1	0
aan	0	0	0	0
jou	0	0	0	0
verbeelding	0	0	0	0
gee.	0	0	0	0

Gemiddelde	0	0	0	0
lengte	0	0	0	0
van	0	0	0	0
skildneusslange	1	0	1	0
is	0	0	0	0
tien	0	0	0	0
sentimeter.	0	0	0	0

Die	0	0	0	0
oorwegende	0	1	0	0
getuienis	0	0	0	0
dui	0	0	0	0
egter	0	0	0	0
daarop	0	0	0	0
dat	0	0	0	0
dit	0	0	0	0
eg	1	0	1	0
is.	0	0	0	0

My	0	0	0	0
huis	1	0	0	0
moet	0	0	0	0
'n	0	0	0	0
Huis	0	0	1	0
van	0	0	0	0
Gebed	0	0	0	0
genoem	0	0	0	0
word.	0	0	0	0

Al	0	1	0	1
wat	0	0	0	0
aanstoot	0	0	0	0
gee	0	0	0	0
is	0	0	0	0
enige	1	0	1	0
aanspraak	0	0	0	0
op	0	0	0	0
gesagvolle	0	1	0	0
absolutes.	0	0	0	0

Die	0	0	0	0
aankoop	1	0	1	0
van	0	0	0	0
aanvullende	0	0	0	0
materiaal	0	0	0	0
is	0	0	0	0
opsioneel.	0	0	0	0

Albei	1	0	0	0
spesiename	0	0	0	0
verwys	0	0	0	0
vanselfsprekend	0	1	1	0
na	0	0	0	0
oorspronklike	0	1	0	0
vindplekke.	0	0	0	0

Dit	0	0	0	0
sluit	1	0	1	0
in	0	0	0	0
kontrakteurs,	0	0	0	0
konsultante	0	0	0	0
en	0	0	0	0
ander	0	0	0	0
beroepslui.	0	0	0	0

Ek	0	0	0	0
sit	0	0	0	0
maar	0	0	1	0
stil	1	0	0	0
en	0	0	0	0
kan	0	0	0	0
nie	0	0	0	0
juis	0	0	0	0
saampraat	0	0	0	0
nie.	0	0	0	0

Identiteitskrisis	0	0	1	0
is	0	0	0	0
hoofsaaklik	1	0	0	0
gesentreer	0	0	0	0
op	0	0	0	0
vriendskappe	0	0	0	0
en	0	0	0	0
verhoudings	0	0	0	0
gedurende	0	0	0	0
die	0	0	0	0
puberteitsjare.	0	0	0	0

In	0	0	1	0
en	0	0	0	0
eindig	0	0	0	1
ons	0	0	0	0
derde	0	1	0	0
in	0	0	0	0
hierdie	0	0	0	0
strawwe	1	0	0	0
kompetisie.	0	0	0	0

Skielik	1	0	1	0
onthou	0	0	0	0
hy	0	0	0	0
van	0	0	0	0
die	0	0	0	0
Bybel	0	0	0	0
onder	0	0	0	0
sy	0	0	0	0
kussing.	0	0	0	0

Aanvaar	0	0	1	0
net	0	0	0	0
dat	0	0	0	0
iets	0	0	0	0
anders	0	0	0	0
vir	0	0	0	0
jou	0	0	0	0
buurman	0	0	0	0
waar	1	0	0	0
kan	0	0	0	0
wees.	0	0	0	0

Die	0	0	0	0
direksie	0	0	0	0
evalueer	0	0	0	0
kandidate	0	0	0	0
vir	0	0	0	0
aanstelling	1	0	1	0
as	0	0	0	0
direkteure.	0	0	0	0

Dui	0	0	0	0
altyd	1	0	1	0
die	0	0	0	0
kant	0	0	0	0
van	0	0	0	0
die	0	0	0	0
ketting	0	0	0	0
meganisme	0	0	0	0
aan.	0	0	0	0

Hy	0	0	0	0
gee	0	0	0	0
baie	1	0	1	0
eerder	0	0	0	0
aandag	0	0	0	0
aan	0	0	0	0
die	0	0	0	0
kinders.	0	0	0	0

Dis	0	0	0	0
so	1	0	1	0
'n	0	0	0	0
meisie	0	0	0	0
wat	0	0	0	0
so	0	0	0	1
afgaan	0	0	0	0
so	0	0	0	0
onder	0	0	0	0
die	0	0	0	0
grond.	0	0	0	0

Min	1	0	1	0
mense	0	0	0	0
van	0	0	0	0
buite	0	0	0	0
het	0	0	0	0
ooit	0	0	0	0
daar	0	1	0	0
gekom.	0	0	0	0

In	0	0	0	0
ander	1	0	1	0
opsigte	0	0	0	0
was	0	0	0	0
die	0	0	0	0
Kommando	0	0	0	0
ook	0	0	0	0
baie	0	0	0	0
aktief.	0	0	0	0

Hy	0	0	0	0
steun	1	0	1	0
en	0	0	0	0
kreun	0	0	0	0
en	0	0	0	0
blaas	0	0	0	0
vermoeid.	0	0	0	0

Of	1	0	0	0
jy	0	0	0	0
soek	0	0	0	0
deskundige	0	0	1	0
leiding	0	0	0	0
wat	0	0	0	0
dit	0	0	0	0
vir	0	0	0	0
jou	0	0	0	0
uitvind.	0	0	0	0

Skakel	0	0	0	0
Mevrou	0	0	0	0
Dauth	1	0	1	0
sodat	0	0	0	0
daar	0	0	0	0
op	0	0	0	0
'n	0	0	0	0
datum	0	0	0	0
besluit	0	0	0	0
kan	0	0	0	0
word.	0	0	0	0

Daartoe	1	0	0	1
wil	0	0	0	0
die	0	0	0	0
Spreuke	0	0	1	0
digter	0	0	0	0
ons	0	0	0	0
begelei.	0	0	0	0

Dinsdagmiddag	0	0	1	0
het	0	0	0	0
die	0	0	0	0
De	0	0	0	0
Hoop	0	0	0	0
Natuurreservaat	1	0	0	0
aan	0	0	0	0
die	0	0	0	0
beurt	0	0	0	0
gekom.	0	0	0	0

Nee,	1	0	0	0
hulle	0	0	0	0
redding	0	0	0	0
is	0	0	0	0
gegrond	0	0	0	0
in	0	0	0	0
God	0	1	1	0
se	0	0	0	0
regverdigheid.	0	0	0	0

Laat	0	0	0	0
u	0	0	0	0
u	0	0	0	0
dan	0	0	0	0
lei	1	0	0	0
deur	0	0	0	0
die	0	0	0	0
Gees	0	1	1	0
van	0	0	0	0
Christus.	0	0	0	0

Registrasie	0	0	0	0
van	0	0	0	0
Nasionale	0	0	1	0
Standaardeliggame.	1	0	0	0

Jy	0	0	0	0
noem	0	0	0	0
nie	0	0	0	0
dat	0	0	0	0
jy	0	0	0	0
reeds	0	0	0	0
grond	1	0	1	0
het	0	0	0	0
nie.	0	0	0	0

Die	0	0	0	0
Kongres	1	0	1	0
van	0	0	0	0
was	0	0	0	0
'n	0	0	0	0
belangrike	0	0	0	0
gebeurtenis.	0	0	0	0

Enige	1	0	0	0
band	0	0	0	0
met	0	0	0	0
selfrespek	0	0	0	0
moet	0	0	0	0
'n	0	0	0	0
song	0	0	1	0
oor	0	0	0	0
drugs	0	0	0	0
hê.	0	0	0	0

Slawerny	0	0	0	0
en	0	0	0	0
dwangarbeid:	0	0	0	0
Slawerny	0	0	0	0
en	0	0	0	0
dwangarbeid	0	0	0	0
is	0	0	0	0
nie	1	0	1	0
toelaatbaar	0	0	0	0
nie.	0	0	0	0

Hierdie	1	0	1	0
drie	0	0	0	0
dinge	0	0	0	0
laat	0	0	0	0
ons	0	0	0	0
nie	0	0	0	0
koud	0	0	0	0
nie.	0	0	0	0

Elke	0	1	0	1
asemteug	0	0	0	0
wat	0	0	0	0
jy	0	0	0	0
gee	0	0	1	0
bevat	0	0	0	0
miljoene	1	0	0	0
atome.	0	0	0	0

Die	0	0	0	0
ouderdomsgroep	1	0	0	0
kan	0	0	0	0
in	0	0	0	0
elke	0	0	1	0
van	0	0	0	0
die	0	0	0	0
vyf	0	1	0	1
kategorieë	0	0	0	0
verteenwoordig	0	0	0	0
wees.	0	0	0	0

Doelgerig	1	0	0	0
marsjeer	0	0	0	0
hulle	0	0	0	0
al	0	0	0	0
nader	0	0	0	0
en	0	0	0	0
nader	0	0	0	0
aan	0	0	0	0
die	0	0	0	0
goudgeel	0	1	1	0
strand.	0	0	0	0

Daarby	1	0	0	0
verloor	0	0	0	0
jy	0	0	0	0
die	0	0	0	0
voordeel	0	0	1	0
van	0	0	0	0
jou	0	0	0	0
voltooide	0	1	0	1
diensjare.	0	0	0	0

Die	0	0	0	0
eerste	1	0	1	0
deel	0	0	0	0
van	0	0	0	0
die	0	0	0	0
roete	0	0	0	0
het	0	0	0	0
deur	0	0	0	0
denneplantasies	0	0	0	0
gekronkel.	0	0	0	0

Dit	0	0	0	0
bied	0	0	0	0
verskillende	1	0	1	0
skilderkunstige	0	0	0	0
uitdagings.	0	0	0	0

Toe	1	0	0	1
sien	0	0	0	0
Jakob	0	0	0	0
'n	0	0	0	0
skeur	0	1	1	0
in	0	0	0	0
die	0	0	0	0
materiaal	0	0	0	0
in	0	0	0	0
die	0	0	0	0
deksel.	0	0	0	0

Balans	0	0	0	0
binne	0	0	0	0
een	1	0	1	0
week	0	0	0	0
nadat	0	0	0	0
die	0	0	0	0
Webwerf	0	1	0	0
geplaas	0	0	0	0
is.	0	0	0	0

Die	0	0	0	0
Sekretariaat	0	0	0	0
word	0	0	0	0
gelei	0	0	0	0
deur	0	0	0	0
die	0	0	0	0
hoofuitvoerende	1	0	1	0
beampte.	0	0	0	0

Ons	0	0	0	0
word	0	0	0	0
gedwing	0	0	0	0
om	0	0	0	0
teen	1	0	0	0
ons	0	0	0	0
aard	0	0	1	0
onaangenaam	0	1	0	0
te	0	0	0	0
wees.	0	0	0	0

Ek	0	0	0	0
wou	0	0	0	0
vir	0	0	0	0
ewig	1	0	1	0
so	0	0	0	0
op	0	0	0	0
my	0	0	0	0
knieë	0	1	0	0
voor	0	0	0	0
hom	0	0	0	0
sit.	0	0	0	0

Mense	1	0	1	0
wat	0	0	0	0
glo	0	0	0	0
in	0	0	0	0
gebed	0	0	0	0
en	0	0	0	0
dit	0	0	0	0
met	0	0	0	0
ywer	0	1	0	0
beoefen.	0	0	0	0

Hierdie	0	0	0	0
onbekende	0	0	0	0
man	0	0	0	0
van	0	0	0	0
Juda	1	0	1	0
af	0	0	0	0
het	0	0	0	0
al	0	0	0	0
daarvan	0	0	0	0
geprofeteer.	0	0	0	0

Die	0	0	0	0
prediking	1	0	0	0
moet	0	0	0	0
as	0	0	0	0
'n	0	0	0	0
sleutel	0	0	1	0
van	0	0	0	0
die	0	0	0	0
hemelryk	0	1	0	0
hanteer	0	0	0	0
word.	0	0	0	0

Sondaars,	0	0	0	0
julle	0	0	0	0
het	0	0	0	0
alles	1	0	1	0
verloor	0	0	0	0
as	0	0	0	0
julle	0	0	0	0
jul	0	0	0	0
siele	0	0	0	0
verloor	0	0	0	0
het.	0	0	0	0

En	0	0	0	0
so	1	0	1	0
is	0	0	0	0
hulle	0	0	0	0
terug	0	0	0	0
oor	0	0	0	0
die	0	0	0	0
Buffelsrivier.	0	0	0	0

Ek	0	0	0	0
glo	1	0	0	0
u	0	0	0	0
sal	0	0	0	0
die	0	0	0	0
versoek	0	0	1	0
baie	0	1	0	0
gunstig	0	0	0	0
oorweeg.	0	0	0	0

Skree	1	0	1	0
as	0	0	0	0
jy	0	0	0	0
jou	0	0	0	0
waardering	0	1	0	0
aan	0	0	0	0
my	0	0	0	0
wil	0	0	0	0
toon.	0	0	0	0

Derek	0	0	0	0
is	0	0	0	0
'n	0	0	0	0
skoolhoof	1	0	1	0
en	0	0	0	0
lidmaat	0	0	0	0
van	0	0	0	0
die	0	0	0	0
Hervormde	0	0	0	0
Gemeente	0	0	0	0
Newlands.	0	0	0	0

Massa	0	0	1	0
